inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough,mapping_id
01006228B1D43104-101-H-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,101,H,"4,5,6",941557828322885758330402|87723377040739670072652|398852086257425178613325,These are internal notes. @sec[101],These are H Row,john drew don,145.69,95.75,116.55,116.55,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-101-J-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,10,101,J,"4,5,6,7,8,9,10,11,12,13",618998477564976586107484|362860944390891931207239|550864244674275632522940|992993022195189945284326|20601486705998331283431|648010118908115698811539|786584787595693508910616|864437776442598038668677|587024190502679859594131|598962262785147496708953,These are internal notes. @sec[101],These are J Row,john drew don,144.38,95.75,115.5,115.5,Y,N,2025-05-07,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-101-K-7,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,4,101,K,"7,8,9,10",9589739335020410564013|375601707758253954904208|704400251371399017521862|453749972564671251979587,These are internal notes. @sec[101],These are K Row,john drew don,145.21,95.75,116.17,116.17,Y,N,2025-05-07,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-101-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,6,101,L,"4,5,6,7,8,9",911765481619642900454890|864770241368775019973318|675494756511499047646901|648929412034618203315715|14432100497759372755691|886769310958442544616845,These are internal notes. @sec[101],These are L Row,john drew don,144.75,95.75,115.8,115.8,Y,N,2025-05-07,N,Y,CUSTOM,"3,6",MOBILE_TRANSFER,N,3,128shd8923kjej47,
01006228B1D43104-102-E-6,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,102,E,"6,7,8",223466833814579970700679|113059126649496857758487|709119062076777998096106,These are internal notes. @sec[102],These are E Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-102-K-8,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,102,K,"8,9,10",173849507299666040927714|822823206261313790459392|184976897047796986424846,These are internal notes. @sec[102],These are K Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-102-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,6,102,L,"4,5,6,7,8,9",390371382562672955037878|611112752856188235640538|525753875652107740125246|675794027752339201912403|890462528972285582898292|397177435114832529541843,These are internal notes. @sec[102],These are L Row,john drew don,117.56,75.75,94.05,94.05,Y,N,2025-05-07,N,Y,CUSTOM,"3,6",MOBILE_TRANSFER,N,3,128shd8923kjej47,
01006228B1D43104-102-L-1,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,102,L,"1,2,3",467727277052352300282881|746397801964878859284274|247127220348544372002079,These are internal notes. @sec[102],These are L Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-102R-DD-3,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,102R,DD,"3,4,5",990335617968238950407115|442813240896894785125462|126264323238241089021217,These are internal notes. @sec[102R],These are DD Row,john drew don,145.69,95.75,116.55,116.55,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-102R-EE-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,6,102R,EE,"4,5,6,7,8,9",857518407713874714401469|896631346030165782697535|923005597526631866384288|866611309498605339753871|352271570365537565503859|426781147228501907514701,These are internal notes. @sec[102R],These are EE Row,john drew don,144.75,95.75,115.8,115.8,Y,N,2025-05-07,N,Y,CUSTOM,"3,6",MOBILE_TRANSFER,N,3,128shd8923kjej47,
01006228B1D43104-103-E-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,2,103,E,"4,5",632941282915288630297216|186397286299963212080651,These are internal notes. @sec[103],These are E Row,john drew don,119.44,75.75,95.55,95.55,Y,N,2025-05-07,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
01006228B1D43104-103-F-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,9,103,F,"5,6,7,8,9,10,11,12,13",791404852518481502566165|115493616225676724767281|944081932775841131394624|889556499785191434505359|977555055624360465954537|170228904844422540558488|600316151077934575212548|613004197373180439634999|605750461019486736033915,These are internal notes. @sec[103],These are F Row,john drew don,117.25,75.75,93.8,93.8,Y,N,2025-05-07,N,Y,CUSTOM,"5,9",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-103-G-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,9,103,G,"5,6,7,8,9,10,11,12,13",919635778711139387691556|298209252106915398063920|88051758957304716431937|909985982113875517401299|853839018498337256482283|422580108477705983586032|496371704865130276908604|560057856644967448395525|769188134052710219684325,These are internal notes. @sec[103],These are G Row,john drew don,117.25,75.75,93.8,93.8,Y,N,2025-05-07,N,Y,CUSTOM,"5,9",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-103-H-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,11,103,H,"4,5,6,7,8,9,10,11,12,13,14",399723183096327823221874|30040049010895936094691|125753851079268850983001|192610184510453801513507|227930128216256378419624|588833794871655798064399|46296039589421914223665|819434837843431781975005|970454129915694512266282|508981442036425177022522|172449917854277801517346,These are internal notes. @sec[103],These are H Row,john drew don,117.14,75.75,93.71,93.71,Y,N,2025-05-07,N,Y,CUSTOM,"6,11",MOBILE_TRANSFER,N,6,128shd8923kjej47,
01006228B1D43104-103-J-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,12,103,J,"4,5,6,7,8,9,10,11,12,13,14,15",887193027950688042292434|952509239743806313461446|33365028018117500117177|593376252318925329625372|56087457601251712802746|603298914083364558433239|750673416562897111472133|771956667354881778687958|1252533825344062484898|383187581981879050079890|115967347580379285289734|432358988575326002641004,These are internal notes. @sec[103],These are J Row,john drew don,117.09,75.75,93.67,93.67,Y,N,2025-05-07,N,Y,CUSTOM,"6,12",MOBILE_TRANSFER,N,6,128shd8923kjej47,
01006228B1D43104-103-K-7,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,10,103,K,"7,8,9,10,11,12,13,14,15,16",81958670694243876037132|230421908391195778633723|278283990861817077117056|260791877672596022253616|349765838992307017512398|231528302813955456674690|972669388569539151850909|790088620629596820336097|84876806091533081685181|45406681804947311036938,These are internal notes. @sec[103],These are K Row,john drew don,117.19,75.75,93.75,93.75,Y,N,2025-05-07,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-103-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,11,103,L,"4,5,6,7,8,9,10,11,12,13,14",408056922917547640215036|929644231555727654320902|459400908151641380241107|617274679097340515783567|684935886352805395658925|509182201291211264071234|937470478796103458376410|358167967851664378752859|589242744952632652594347|382528703078319127389074|245303995243563628911607,These are internal notes. @sec[103],These are L Row,john drew don,117.14,75.75,93.71,93.71,Y,N,2025-05-07,N,Y,CUSTOM,"6,11",MOBILE_TRANSFER,N,6,128shd8923kjej47,
01006228B1D43104-103-L-1,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,103,L,"1,2,3",553295032647167488839036|359359501269133500018715|420728453622185271072645,These are internal notes. @sec[103],These are L Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
