inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough
885c8250-f99e-4046-b050-314647f7ed04, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,4,SEC1,O,"3,4,5,6",,These are internal notes. @sec[SEC1],These are O Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
fa102d0b-edc4-4266-8750-0abc07428330, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,5,SEC1,M,"10,11,12,13,14",,These are internal notes. @sec[SEC1],These are M Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
a9118b3a-8af2-4335-8809-2ddf0175239f, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,6,SEC1,M,"4,5,6,7,8,9",,These are internal notes. @sec[SEC1],These are M Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
313fc442-f6d4-45c0-97d7-871063052d9e, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,4,SEC1,N,"12,13,14,15",,These are internal notes. @sec[SEC1],These are N Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
cf5dc022-237b-48d7-b010-d4270737b095, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,4,SEC1,N,"5,6,7,8",,These are internal notes. @sec[SEC1],These are N Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
697f7969-4289-4b11-a9be-1fb4ae8ec83c, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,5,SEC1,P,"13,14,15,16,17",,These are internal notes. @sec[SEC1],These are P Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
dc9c3cd4-fa08-4d7f-923d-0d3f36b29cba, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,4,SEC3,O,"15,16,17,18",,These are internal notes. @sec[SEC3],These are O Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
66747fe7-1064-45f8-aece-b4c0c5184a2c, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,2,SEC3,O,"8,9",,These are internal notes. @sec[SEC3],These are O Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
3e8e5e81-ae84-41cd-ad41-f7dce9bcaf29, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,2,SEC3,M,"14,15",,These are internal notes. @sec[SEC3],These are M Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
3c7ce104-f0bb-48a7-ad7e-1f2b06ff4e4a, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,8,SEC3,N,"10,11,12,13,14,15,16,17",,These are internal notes. @sec[SEC3],These are N Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
9c29243b-24f4-4dac-80ca-294d9bf9ad8a, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,3,SEC3,N,"7,8,9",,These are internal notes. @sec[SEC3],These are N Row,,203.28,156.37,156.37,156.37,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
dcde5b74-b627-4bea-b9a2-4bd4941bd2fd, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,2,SEC3,P,"20,21",,These are internal notes. @sec[SEC3],These are P Row,,181.74,139.8,139.8,139.8,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
2546e401-27f6-4a52-ad73-18133b2042f7, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,2,SEC4,AA,"1,2",,These are internal notes. @sec[SEC4],These are AA Row,,181.74,139.8,139.8,139.8,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
c7c4814c-d93b-42d7-bd3a-0c08ae2e6bf9, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,9,SEC4,GG,"1,2,3,4,5,6,7,8,9",,These are internal notes. @sec[SEC4],These are GG Row,,150.81,116.00999999999999,116.00999999999999,116.00999999999999,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
b0d1b4e3-a6ee-4c2c-8407-4519fe52b811, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,5,SEC4,GG,"10,11,12,13,14",,These are internal notes. @sec[SEC4],These are GG Row,,150.81,116.00999999999999,116.00999999999999,116.00999999999999,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
9dcd4b3e-b3a5-46c1-9418-c7a7fe1ac13a, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,5,SEC4,BB,"10,11,12,13,14",,These are internal notes. @sec[SEC4],These are BB Row,,150.81,116.00999999999999,116.00999999999999,116.00999999999999,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
355f1f34-a124-4ac5-bf03-0f407c234038, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,7,SEC4,BB,"3,4,5,6,7,8,9",,These are internal notes. @sec[SEC4],These are BB Row,,150.81,116.00999999999999,116.00999999999999,116.00999999999999,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
57a44c40-e458-4299-908e-d2fd6dd7ccf1, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,4,SEC4,CC,"10,11,12,13",,These are internal notes. @sec[SEC4],These are CC Row,,150.81,116.00999999999999,116.00999999999999,116.00999999999999,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
f781db6a-76e3-4935-9b2a-08083e7b8625, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,7,SEC4,CC,"3,4,5,6,7,8,9",,These are internal notes. @sec[SEC4],These are CC Row,,150.81,116.00999999999999,116.00999999999999,116.00999999999999,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
34420172-04a1-493e-90b9-f76e83236e27, Theresa Caputo Live: The Experience,"The Pantheon at Caesars Virginia, Danville, VA",2025-08-15T20:00:00.000Z,5652523,6,SEC4,DD,"10,11,12,13,14,15",,These are internal notes. @sec[SEC4],These are DD Row,,150.81,116.00999999999999,116.00999999999999,116.00999999999999,Y,N,2025-08-14,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
