inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough
0200616FD0F96079-105-1-13,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,3,105,1,"13,14,15",517179012783347824711263|253279997836648255316616|61968630342933838177096,These are internal notes. @sec[105],These are 1 Row,john drew don,264.8566666666667,221,264.8566666666667,264.8566666666667,Y,N,2025-04-22,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47
0200616FD0F96079-105-2-13,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,2,105,2,"13,14",453434334191803127848143|69557387504510300442089,These are internal notes. @sec[105],These are 2 Row,john drew don,258.365,215,258.365,258.365,Y,N,2025-04-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47
0200616FD0F96079-105-3-11,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,5,105,3,"11,12,13,14,15",813923032576975482901222|663247406568577059121703|2000415551479413733279|778671975265144902095271|247843130138944452753140,These are internal notes. @sec[105],These are 3 Row,john drew don,246.45,206,246.45,246.45,Y,N,2025-04-22,N,Y,CUSTOM,"3,5",MOBILE_TRANSFER,N,3,128shd8923kjej47
0200616FD0F96079-105-6-15,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,2,105,6,"15,16",367042729288496913531338|154953839912331465607633,These are internal notes. @sec[105],These are 6 Row,john drew don,285.795,238,285.795,285.795,Y,N,2025-04-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47
0200616FD0F96079-106-10-10,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,3,106,10,"10,11,12",742568707750263009746367|304955208378161898153003|920957273163657071163187,These are internal notes. @sec[106],These are 10 Row,john drew don,249.35666666666668,208,249.35666666666668,249.35666666666668,Y,N,2025-04-22,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47
0200616FD0F96079-106-13-13,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,2,106,13,"13,14",371290101194213443846262|775073729345221574995881,These are internal notes. @sec[106],These are 13 Row,john drew don,257.175,214,257.175,257.175,Y,N,2025-04-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47
0200616FD0F96079-106-14-19,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,2,106,14,"19,20",555776171657684507262787|681957073466572331735477,These are internal notes. @sec[106],These are 14 Row,john drew don,245.245,204,245.245,245.245,Y,N,2025-04-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47
0200616FD0F96079-106-2-7,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,2,106,2,"7,8",94385402381352980353377|803334183907906221680353,These are internal notes. @sec[106],These are 2 Row,john drew don,281.025,234,281.025,281.025,Y,N,2025-04-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47
0200616FD0F96079-106-3-9,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,2,106,3,"9,10",412733705688669462102100|127507076797275909996314,These are internal notes. @sec[106],These are 3 Row,john drew don,258.365,215,258.365,258.365,Y,N,2025-04-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47
0200616FD0F96079-106-4-8,Post Malone Presents: The BIG ASS Stadium Tour,"Citizens Bank Park, Philadelphia, PA",2025-04-22T21:25:31.440Z,0200616FD0F96079,5,106,4,"8,9,10,11,12",85733586901237097315437|81503355219142204845161|370073022711520617463262|787097939532706045385695|436378726020342570966450,These are internal notes. @sec[106],These are 4 Row,john drew don,246.45,206,246.45,246.45,Y,N,2025-04-22,N,Y,CUSTOM,"3,5",MOBILE_TRANSFER,N,3,128shd8923kjej47
