inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough,mapping_id
0400619496250E05-103-2-2,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,103,2,"2,3",405361621596965734320963|30074678175519676178138,These are internal notes. @sec[103],These are 2 Row,john drew don,780.58,522,624.465,624.465,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-103-8-1,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,103,8,"1,2",680422533195948837918167|128187356531420649376508,These are internal notes. @sec[103],These are 8 Row,john drew don,671.76,449,537.405,537.405,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-1-5,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,6,104,1,"5,6,7,8,9,10",732095114926995119473906|963444316321923477279046|932650322122671981416027|667071331295777687997479|800171472764935911545988|125517369913259355491877,These are internal notes. @sec[104],These are 1 Row,john drew don,1415.42,949,1132.3383333333334,1132.3383333333334,Y,N,2025-04-30,N,Y,CUSTOM,"3,6",MOBILE_TRANSFER,N,3,128shd8923kjej47,
0400619496250E05-104-1-11,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,6,104,1,"11,12,13,14,15,16",59437683527416988033768|445322405329701257785423|442182980811834351908035|396295280125227182333712|67886018127883542288517|910727062058359992221198,These are internal notes. @sec[104],These are 1 Row,john drew don,1291.71,866,1033.3683333333333,1033.3683333333333,Y,N,2025-04-30,N,Y,CUSTOM,"3,6",MOBILE_TRANSFER,N,3,128shd8923kjej47,
0400619496250E05-104-1-3,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,104,1,"3,4",12974108742525735122116|249779668733669822582098,These are internal notes. @sec[104],These are 1 Row,john drew don,1276.96,855,1021.565,1021.565,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-7-5,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,3,104,7,"5,6,7",658328918741470132766138|346286718015653877083024|575549891489652367302774,These are internal notes. @sec[104],These are 7 Row,john drew don,680.15,426,544.1166666666667,544.1166666666667,Y,N,2025-04-30,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0400619496250E05-104-9-12,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,104,9,"12,13",134314666598599389446932|319123735014578903360730,These are internal notes. @sec[104],These are 9 Row,john drew don,681.53,426,545.225,545.225,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-10-5,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,104,10,"5,6",687198450056212431079589|326128338901128511580629,These are internal notes. @sec[104],These are 10 Row,john drew don,2685.59,1800,2148.475,2148.475,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-11-8,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,104,11,"8,9",280581260243945513198732|179692817781178963535402,These are internal notes. @sec[104],These are 11 Row,john drew don,2685.59,1800,2148.475,2148.475,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-12-9,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,104,12,"9,10",60815578445914651010373|331812821923714587573064,These are internal notes. @sec[104],These are 12 Row,john drew don,785.04,525,628.035,628.035,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-13-1,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,104,13,"1,2",402246298689545643849170|930228830995150855453252,These are internal notes. @sec[104],These are 13 Row,john drew don,695.61,465,556.485,556.485,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-14-15,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,4,104,14,"15,16,17,18",801883461865229798771910|510318095432471246809152|192626690157709559915721|340884188041604817088789,These are internal notes. @sec[104],These are 14 Row,john drew don,2684.36,1800,2147.4875,2147.4875,Y,N,2025-04-30,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0400619496250E05-104-15-10,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,6,104,15,"10,11,12,13,14,15",703113972409949756366217|69768585730621992408192|468240138711943711650301|370428782243687012791930|811024695015947249242107|69491178901267408892579,These are internal notes. @sec[104],These are 15 Row,john drew don,1088.99,730,871.1883333333333,871.1883333333333,Y,N,2025-04-30,N,Y,CUSTOM,"3,6",MOBILE_TRANSFER,N,3,128shd8923kjej47,
0400619496250E05-104-15-8,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,2,104,15,"8,9",300252070870259596362666|488905006789804827564085,These are internal notes. @sec[104],These are 15 Row,john drew don,1090.63,730,872.505,872.505,Y,N,2025-04-30,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0400619496250E05-104-15-4,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,4,104,15,"4,5,6,7",52265527421963734216421|699782508761955340664785|926529963742495278287407|706638950442217101930523,These are internal notes. @sec[104],These are 15 Row,john drew don,639.22,428,511.3775,511.3775,Y,N,2025-04-30,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0400619496250E05-104-16-1,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,4,104,16,"1,2,3,4",175827584445405277429761|919167832264996462994994|662927596777178277788243|318057636487525569317055,These are internal notes. @sec[104],These are 16 Row,john drew don,572.15,383,457.7175,457.7175,Y,N,2025-04-30,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0400619496250E05-104-16-10,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,3,104,16,"10,11,12",708025262994937507601358|519706100360593182430984|835843775029373172773825,These are internal notes. @sec[104],These are 16 Row,john drew don,588.96,394,471.16666666666663,471.16666666666663,Y,N,2025-04-30,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0400619496250E05-104-16-15,Beyoncé: COWBOY CARTER TOUR,"Soldier Field, Chicago, IL",2025-04-14T05:57:00.000Z,0400619496250E05,4,104,16,"15,16,17,18",424460280149477802430018|280331053414121071593566|59671203831250273384928|615395167314452389559862,These are internal notes. @sec[104],These are 16 Row,john drew don,604.93,405,483.9475,483.9475,Y,N,2025-04-30,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
