inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough,mapping_id
05006129E6C33E60-16-2-6,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,4,16,2,"6,7,8,9",672152229370200750093617|452586522636212473209416|283374673314505310177664|339923455762946198241965,These are internal notes. @sec[16],These are 2 Row,john drew don,526.82,403.75,478.93,478.93,Y,N,2025-07-31,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
05006129E6C33E60-208-10-11,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,10,208,10,"11,12,13,14,15,16,17,18,19,20",56798830085741120220840|839274442397904037860780|286255296781640176541066|68207135992721125320386|488766531889178899089681|841558758001594756768546|406142730631878692641525|517058493262906232418174|775042253448316093616879|724590085440269370398193,These are internal notes. @sec[208],These are 10 Row,john drew don,58.28,33.75,52.980000000000004,52.980000000000004,Y,N,2025-07-31,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
05006129E6C33E60-208-10-3,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,4,208,10,"3,4,5,6",669750969390482582717595|641476813564425715291535|60336343326084835039092|33395472589107511881154,These are internal notes. @sec[208],These are 10 Row,john drew don,59.43,33.75,54.03,54.03,Y,N,2025-07-31,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
05006129E6C33E60-208-11-10,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,11,208,11,"10,11,12,13,14,15,16,17,18,19,20",928150295545572555350394|790644491757992912131758|759434099372996788831152|226806524806694925839439|892888597906421353250129|767867123641215596985301|577494904612653042795039|569643693596116872688323|707492020506356664532670|413022819869242620474153|378541256911638136385781,These are internal notes. @sec[208],These are 11 Row,john drew don,58.21,33.75,52.91636363636364,52.91636363636364,Y,N,2025-07-31,N,Y,CUSTOM,"6,11",MOBILE_TRANSFER,N,6,128shd8923kjej47,
05006129E6C33E60-208-11-3,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,7,208,11,"3,4,5,6,7,8,9",253080906109763508573582|134745553954463174652120|76289458183016933881463|224384068703244531275583|690616216111391912211667|624566828591338425478470|30971008820324387970487,These are internal notes. @sec[208],These are 11 Row,john drew don,58.61,33.75,53.28,53.28,Y,N,2025-07-31,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
05006129E6C33E60-208-12-10,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,15,208,12,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",380963463775453013191116|16428361782995812122305|23800967636966114170691|812305002807280616223561|266951060133222226885793|848570900763913343552515|527928914782548341975821|24205091162214920317696|804476493891408710438064|942538062156447751631706|420868028151581505015242|765880712489436156779255|526456973258475206561745|26251790046946441000950|921911370452977720128372,These are internal notes. @sec[208],These are 12 Row,john drew don,58.02,33.75,52.74666666666667,52.74666666666667,Y,N,2025-07-31,N,Y,CUSTOM,"8,15",MOBILE_TRANSFER,N,8,128shd8923kjej47,
05006129E6C33E60-208-12-5,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,5,208,12,"5,6,7,8,9",493941355604531634694024|115874400250594186908413|717447900271322547732452|883475664573141932079999|726660071160873391658891,These are internal notes. @sec[208],These are 12 Row,john drew don,59.05,33.75,53.68,53.68,Y,N,2025-07-31,N,Y,CUSTOM,"3,5",MOBILE_TRANSFER,N,3,128shd8923kjej47,
05006129E6C33E60-208-13-10,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,15,208,13,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",432311897739135683962844|69457816977281293646122|467986443454685789084319|309830855147104355571052|26012101819266723673950|676795117387505473066319|216485155425793012558045|139182671803366818035610|738496752122729087990847|343431986986815555720369|503632906732216095853343|4942366821814020247992|162323157330991152147393|758526097103862834678701|870151847626552759118206,These are internal notes. @sec[208],These are 13 Row,john drew don,58.02,33.75,52.74666666666667,52.74666666666667,Y,N,2025-07-31,N,Y,CUSTOM,"8,15",MOBILE_TRANSFER,N,8,128shd8923kjej47,
05006129E6C33E60-208-13-3,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,7,208,13,"3,4,5,6,7,8,9",212495016468222955287878|726635540575685191532829|98223334311677971018365|933064264463925723634512|643343645416604907849143|268741903195703880955535|961895588209114698454423,These are internal notes. @sec[208],These are 13 Row,john drew don,58.61,33.75,53.28,53.28,Y,N,2025-07-31,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
05006129E6C33E60-208-14-10,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,15,208,14,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",343971216782650292788138|14545562676094554258252|428365148897464065314883|360026750391337532459086|928668845443217207497129|241318810674794838280023|201578589693299398863814|652988057623832315354894|681622011714140747472360|64927973423920301047270|45049388218532721105428|261948675338136887658569|325182580962403421293686|529073798579360369531653|48060305426943812057233,These are internal notes. @sec[208],These are 14 Row,john drew don,58.02,33.75,52.74666666666667,52.74666666666667,Y,N,2025-07-31,N,Y,CUSTOM,"8,15",MOBILE_TRANSFER,N,8,128shd8923kjej47,
05006129E6C33E60-208-14-3,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,7,208,14,"3,4,5,6,7,8,9",506527178725984234505060|527489899345811960899801|793790044206158886572472|933084970936562224660825|89924496739659045243434|918175936743828927777774|292080338107935343318392,These are internal notes. @sec[208],These are 14 Row,john drew don,58.61,33.75,53.28,53.28,Y,N,2025-07-31,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
05006129E6C33E60-208-8-19,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,2,208,8,"19,20",352054595756911023898243|230664197392500155010374,These are internal notes. @sec[208],These are 8 Row,john drew don,61.36,33.75,55.78,55.78,Y,N,2025-07-31,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
05006129E6C33E60-208-9-17,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,2,208,9,"17,18",153848482478860817489778|293478570931616419201109,These are internal notes. @sec[208],These are 9 Row,john drew don,61.36,33.75,55.78,55.78,Y,N,2025-07-31,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
05006129E6C33E60-208-15-10,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,15,208,15,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",744630146911241589202875|609539523463940361418488|913356127859983556376130|4063450666689931989608|184120329879501588425483|747697480088285247261644|260481799375927206590375|368337804386767557676606|778692169780370447321771|728751914115439112017024|109829764339752875408521|193499079514466679874017|577937702187407772725870|126176102023559104654500|731798181417754716033704,These are internal notes. @sec[208],These are 15 Row,john drew don,51.81,28.75,47.096666666666664,47.096666666666664,Y,N,2025-07-31,N,Y,CUSTOM,"8,15",MOBILE_TRANSFER,N,8,128shd8923kjej47,
05006129E6C33E60-208-15-3,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,7,208,15,"3,4,5,6,7,8,9",613034355712148649392575|495251866135319533709920|628448076498826557414002|422830596228555718683587|580237205589947586883028|68033036971817547648751|438290101664978812880287,These are internal notes. @sec[208],These are 15 Row,john drew don,52.39,28.75,47.629999999999995,47.629999999999995,Y,N,2025-07-31,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
05006129E6C33E60-208-16-10,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,15,208,16,"10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",890210319900539447853077|314140942686808139810602|12903675413846504007676|877871488372255471189618|56316068113917683605567|85257232884221109409727|768704999936587886144488|679574727689767749666723|635757898771148317964605|667922756528927183316262|596935137858893385358735|551630013309154545701143|126323526232458393388718|224047472855370074042467|842160068659249930943744,These are internal notes. @sec[208],These are 16 Row,john drew don,51.81,28.75,47.096666666666664,47.096666666666664,Y,N,2025-07-31,N,Y,CUSTOM,"8,15",MOBILE_TRANSFER,N,8,128shd8923kjej47,
05006129E6C33E60-208-16-3,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,7,208,16,"3,4,5,6,7,8,9",529483847262336766949973|72167139175385494512382|871763271670820435297096|350725451911972093754961|424019670868147200786496|970929228548872632981402|11015909367185388320476,These are internal notes. @sec[208],These are 16 Row,john drew don,52.39,28.75,47.629999999999995,47.629999999999995,Y,N,2025-07-31,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
05006129E6C33E60-208-2A-14,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,2,208,2A,"14,15",145708326674107339509417|70873281022617533873433,These are internal notes. @sec[208],These are 2A Row,john drew don,80.00,48.75,72.73,72.73,Y,N,2025-07-31,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
05006129E6C33E60-209-10-15,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,5,209,10,"15,16,17,18,19",356334547997735258039595|49895157930242917008151|737906879769491022944209|76069653216479546888977|115559434265965478181318,These are internal notes. @sec[209],These are 10 Row,john drew don,59.05,33.75,53.68,53.68,Y,N,2025-07-31,N,Y,CUSTOM,"3,5",MOBILE_TRANSFER,N,3,128shd8923kjej47,
05006129E6C33E60-209-10-5,Dude Perfect Hero World Tour,"Gainbridge Fieldhouse, Indianapolis, IN",2025-08-01T14:59:00.000Z,05006129E6C33E60,2,209,10,"5,6",444357229159586353905942|11138188193387535091474,These are internal notes. @sec[209],These are 10 Row,john drew don,61.36,33.75,55.78,55.78,Y,N,2025-07-31,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
