inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough,mapping_id
0D00624A8F60142B-104-F-4,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,3,104,F,"4,5,6",657185352058491741261631|549889725215833495395477|1399032494879848737797,These are internal notes. @sec[104],These are F Row,john drew don,284.38,181,227.5,227.5,Y,N,2025-05-22,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0D00624A8F60142B-104-F-1,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,3,104,F,"1,2,3",583403529013721532014022|915299270183297524824181|369891878586851741168910,These are internal notes. @sec[104],These are F Row,john drew don,284.38,181,227.5,227.5,Y,N,2025-05-22,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0D00624A8F60142B-107-D-5,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,107,D,"5,6",528367640439598009200940|431972913796774274491567,These are internal notes. @sec[107],These are D Row,john drew don,1050.11,749,840.085,840.085,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-107-F-1,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,107,F,"1,2",494974116834348896012556|814545150558790467412930,These are internal notes. @sec[107],These are F Row,john drew don,707.17,499,565.735,565.735,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-107-F-5,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,107,F,"5,6",909405582622165461067476|271212521931703161103286,These are internal notes. @sec[107],These are F Row,john drew don,707.17,499,565.735,565.735,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-108-D-5,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,108,D,"5,6",141312579276449399219427|823100629059373743294768,These are internal notes. @sec[108],These are D Row,john drew don,1393.11,999,1114.485,1114.485,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-108-D-8,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,108,D,"8,9",708746221111778738758306|523769015560801484650177,These are internal notes. @sec[108],These are D Row,john drew don,1393.11,999,1114.485,1114.485,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-108-D-1,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,108,D,"1,2",836951567547556649873929|78783125496849492036699,These are internal notes. @sec[108],These are D Row,john drew don,1393.11,999,1114.485,1114.485,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-108-F-9,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,108,F,"9,10",775988222862303195062826|878902485489487940409002,These are internal notes. @sec[108],These are F Row,john drew don,1050.11,749,840.085,840.085,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-108-F-1,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,108,F,"1,2",942807844516821263953833|300879529859997110292539,These are internal notes. @sec[108],These are F Row,john drew don,1050.11,749,840.085,840.085,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-109-F-3,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,109,F,"3,4",875369944778416277344243|93742205510943320935626,These are internal notes. @sec[109],These are F Row,john drew don,707.17,499,565.735,565.735,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-109-F-7,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,109,F,"7,8",235982598790347212563872|489842069302365714605948,These are internal notes. @sec[109],These are F Row,john drew don,707.17,499,565.735,565.735,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-110-B-3,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,110,B,"3,4",26508550492473319202534|898299063060334625319857,These are internal notes. @sec[110],These are B Row,john drew don,707.17,499,565.735,565.735,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-112-B-11,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,3,112,B,"11,12,13",6119214838142172508113|890845985140147730338261|18431755438958349207503,These are internal notes. @sec[112],These are B Row,john drew don,292.19,186,233.75,233.75,Y,N,2025-05-22,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0D00624A8F60142B-112-E-7,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,5,112,E,"7,8,9,10,11",635523954086185657080439|546550753926553977628116|151044026281313453076068|847321233942495168323671|807913829096800282298032,These are internal notes. @sec[112],These are E Row,john drew don,283.55,181,226.84,226.84,Y,N,2025-05-22,N,Y,CUSTOM,"3,5",MOBILE_TRANSFER,N,3,128shd8923kjej47,
0D00624A8F60142B-113-A-7,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,4,113,A,"7,8,9,10",631395296977800351337354|932372154637286421229653|474567993776289865431425|263359479668573446703875,These are internal notes. @sec[113],These are A Row,john drew don,250.23,159.5,200.1875,200.1875,Y,N,2025-05-22,N,Y,CUSTOM,"2,4",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0D00624A8F60142B-113-L-4,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,7,113,L,"4,5,6,7,8,9,10",882444284975834425527002|914726718475268944201727|138068384334613103149206|922153631105823986963410|743613779893621756428632|669665400915479565060931|831136825230539112703879,These are internal notes. @sec[113],These are L Row,john drew don,205.61,135,164.48714285714286,164.48714285714286,Y,N,2025-05-22,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
0D00624A8F60142B-113-L-1,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,3,113,L,"1,2,3",257086410693232723228751|383406888877541909912164|857804679786956915813432,These are internal notes. @sec[113],These are L Row,john drew don,206.79,135,165.43,165.43,Y,N,2025-05-22,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
0D00624A8F60142B-113-L-13,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,5,113,L,"13,14,15,16,17",332730111805880122334045|957144648486204364195513|357058358491524320830126|54086543869998378450262|194042297024312336266878,These are internal notes. @sec[113],These are L Row,john drew don,205.96,135,164.77,164.77,Y,N,2025-05-22,N,Y,CUSTOM,"3,5",MOBILE_TRANSFER,N,3,128shd8923kjej47,
0D00624A8F60142B-113-M-1,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,2,113,M,"1,2",785880770284241615740118|418372433998682196055124,These are internal notes. @sec[113],These are M Row,john drew don,207.82,135,166.255,166.255,Y,N,2025-05-22,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
0D00624A8F60142B-113-M-11,Halsey,"Hard Rock Live, HOLLYWOOD, FL",2025-05-25T19:00:00.000Z,0D00624A8F60142B,8,113,M,"11,12,13,14,15,16,17,18",623775643328291720805525|98191954864654695337985|186808449473472497504742|584875674273867865943997|630084385562283232595714|685247215735515676783366|85317640900186372607193|913298705440927700420387,These are internal notes. @sec[113],These are M Row,john drew don,205.50,135,164.39875,164.39875,Y,N,2025-05-22,N,Y,CUSTOM,"4,8",MOBILE_TRANSFER,N,4,128shd8923kjej47,
