inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough
ace24e5c-5554-499a-a962-8f3e7f9bfbb7,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,2,119,GG,"29,30",,These are internal notes. @sec[119],These are GG Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
60603b38-9381-436c-a38a-3533861feb62,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,3,301,B,"7,8,9",,These are internal notes. @sec[301],These are B Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
01dc0953-cd9b-4dd8-a12b-76a388c57e21,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,6,301,C,"5,6,7,8,9,10",,These are internal notes. @sec[301],These are C Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
51bb7a4c-72fd-4409-b518-2a897d3cd471,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,3,301,C,"13,14,15",,These are internal notes. @sec[301],These are C Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
137851da-bcba-43a5-ba44-f44e8189a632,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,5,301,G,"7,8,9,10,11",,These are internal notes. @sec[301],These are G Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
13dfa3c7-febd-49b4-bb82-5cbad1c1e5c2,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,5,301,H,"7,8,9,10,11",,These are internal notes. @sec[301],These are H Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
4fd7f66d-42da-4f26-8c4e-8e6524e49ccb,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,3,301,J,"9,10,11",,These are internal notes. @sec[301],These are J Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
8144856c-936c-482c-ba92-1b7c626a22ff,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,3,301,K,"9,10,11",,These are internal notes. @sec[301],These are K Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
9c89c1a3-4ec5-49a3-b83c-4c51bc714678,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,3,301,L,"4,5,6",,These are internal notes. @sec[301],These are L Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
3e96aae1-d61b-468a-bb96-1b4a3f940bbc,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,3,301,L,"13,14,15",,These are internal notes. @sec[301],These are L Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
964432e0-a17c-4f3b-8579-88dd85c91e5f,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,7,301,M,"9,10,11,12,13,14,15",,These are internal notes. @sec[301],These are M Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
35ca964b-70ef-4c2d-a568-a580cb54f47e,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,4,301,N,"5,6,7,8",,These are internal notes. @sec[301],These are N Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
77024d41-b8cc-49fc-8b7e-1f5b8b7065c4,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,5,301,N,"11,12,13,14,15",,These are internal notes. @sec[301],These are N Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
7d24bbf1-1a6a-4b99-adfc-16ac83cf4fbb,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,4,301,P,"12,13,14,15",,These are internal notes. @sec[301],These are P Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
3861f87c-01ed-4ed4-8ff4-b68e5fa91c8a,Nate Bargatze,"KFC Yum! Center, Louisville, KY",2025-10-05T19:00:00.000Z,5393049,5,301,Q,"4,5,6,7,8",,These are internal notes. @sec[301],These are Q Row,,127.20,106,106,106,Y,N,2025-10-04,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
