inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough
991ad753-82bf-4649-b972-ec3431afa30e,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,2,101WC,20,"13,14",,These are internal notes. @sec[101WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
8be6e91a-d0a7-4aae-9ebf-7a164b91ea29,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,3,101WC,20,"18,19,20",,These are internal notes. @sec[101WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
b709f2fa-889b-4fc1-b5f2-cded1796f44b,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,3,101WC,20,"24,25,26",,These are internal notes. @sec[101WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
46caa635-33fe-4c36-be7f-3fdb854f912d,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,3,103WC,20,"11,12,13",,These are internal notes. @sec[103WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
9ea2dcd2-a659-4a62-a9e6-0bb8094b6dcc,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,3,103WC,20,"17,18,19",,These are internal notes. @sec[103WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
30210064-8c5c-4179-9abb-6435199e4eac,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,2,105WC,20,"16,17",,These are internal notes. @sec[105WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
b9865996-3446-4703-8e33-5b05d2aae529,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,3,105WC,20,"21,22,23",,These are internal notes. @sec[105WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
d61cbbac-ce0b-4434-92cd-65992782c8d3,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,3,109WC,20,"14,15,16",,These are internal notes. @sec[109WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
c366aa17-0d26-455a-896a-3ad6f0b135fa,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,2,109WC,20,"20,21",,These are internal notes. @sec[109WC],These are 20 Row,,175.89,135.3,135.3,135.3,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
e071b363-c3ad-495f-8820-0c51a0e98f89,Nate Bargatze,"Madison Square Garden, New York, NY",2025-09-26T19:00:00.000Z,5489841,3,204LWC,1,"11,12,13",,These are internal notes. @sec[204LWC],These are 1 Row,,146.25,112.5,112.5,112.5,Y,N,2025-09-25,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,
